version 3, schema unit_stats_naval_tables
Unit_IDRef(string)	Morale(int)	Hull_Strength(int)	Crew_Size(int)	Admiral_Variant(optstring)	Cannon_Type_1(optstring)	Cannon_Type_2(optstring)	Cannon_Type_3(optstring)	Cannon_Type_4(optstring)	Cannon_Type_5(optstring)	Cannon_Type_6(optstring)	Cannon_Type_7(optstring)	Ship(string)	Admiral(string)	Cpt(optstring)	Lt(optstring)	Bosun(optstring)	Marines(int)	Seamen(int)	Gun_Crewmen(int)	Accuracy(int)	Reloading_Skill(int)	Technology(string)	unknown4(float)	unknown5(float)	unknown6(float)	unknown7(int)	unknown8(float)	unknown9(int)	unknown10(int)	unknown11(int)	General_Speed(int)	Turning_x0020_Speed_x003F_(float)	unknown13(float)	unknown14(float)	unknown15(int)	unknown16(int)	unknown17(int)	_x0023_0_x0020_degree_x0020_speed_coefficient(float)	_x0023_10-15_x0020_degree_x0020_speed_coefficient(float)	_x0023_25-30_x0020_degree_x0020_speed_coefficient(float)	_x0023_40-45_x0020_degree_x0020_speed_coefficient(float)	_x0023_50-55_x0020_degree_x0020_speed_coefficient(float)	_x0023_70-75_x0020_degree_x0020_speed_coefficient(float)	_x0023_90-95_x0020_degree_x0020_speed_coefficient(float)	_x0023_100-105_x0020_degree_x0020_speed_coefficient(float)	_x0023_120-125_x0020_degree_x0020_speed_coefficient(float)	_x0023_130-135_x0020_degree_x0020_speed_coefficient(float)	_x0023_140-145_x0020_degree_x0020_speed_coefficient(float)	_x0023_165-180_x0020_degree_x0020_speed_coefficient(float)	bound_x0020_by_waves(float)	pitch_x0020_by_waves(float)	Turn_rate_x0020_max_speed(float)	Turn_rate_x0020_2-3_speed(float)	Turn_rate_x0020_1-3_speed(float)	Turn_rate_x0020_4-15_speed(float)	Turn_rate_x0020_1-5_speed(float)	Turn_rate_x0020_2-15_speed(float)	Turn_rate_x0020_1-15_speed(float)	Turn_rate_x0020_0_speed(float)	unknown40(boolean)	unknown41(int)	unknown42(int)	unknown43(float)	unknown44(int)	unknown45(int)	unknown46(float)	unknown47(int)	unknown48(int)	unknown49(float)	unknown50(int)	unknown51(int)	unknown52(float)	unknown53(int)	unknown54(int)	unknown55(float)	unknown56(int)	unknown57(int)	unknown58(float)	unknown59(int)	unknown60(int)	unknown61(float)	unknown62(int)	unknown63(int)	unknown64(float)	unknown65(int)	unknown66(int)	unknown67(float)	unknown68(int)	unknown69(int)	unknown70(float)	unknown71(int)	unknown72(int)	unknown73(float)	unknown74(int)	unknown75(int)	unknown76(float)	unknown77(int)	unknown78(int)	unknown79(float)	unknown80(int)	unknown81(int)	unknown82(float)	unknown83(int)	unknown84(int)	unknown85(float)	unknown86(int)	unknown87(int)	unknown88(float)	unknown89(int)	unknown90(int)	unknown91(float)	unknown92(int)	unknown93(int)	unknown94(float)	unknown95(boolean)	unknown96(boolean)	Can_Trade(boolean)	Manoeuverability(string)	Hull_Strength_Shown(int)	unknown97(string)
"Frigate_Dutch_32"	9	9	100	"5th_rate_admiral"	nil	nil	nil	"naval_12_pounder_lr"	nil	nil	"naval_6_pounder_lr"	"1deck32"	"test_admiral"	"test_naval_captain"	"test_naval_lieutenant"	"test_naval_bosun"	16	16	64	60	40	"matchlock"	2.5	0.1	1.1	1185	1.3	85	70	9	20	1.7	15	1	142	26	130	0.85	0.9	0.95	0.9	0.85	0.8	0.75	0.7	0.65	0.59	0.48	0.38	0.17	0.12	3.63825	6.06375	7.26	8.59625	7.935	6.655	5.324	1.75	true	2	55	0.8	2	85	0.8	2	145	0.95	2	66	0.8	2	145	0.95	0	5	0.1	2	145	0.95	2	130	0.8	2	130	0.8	2	130	0.8	1	120	0	1	150	0	1	187	0	1	102	0	2	130	0.8	1	102	0	1	102	0	1	24	0.95	false	false	false	"Medium"	510	"sail"
"Frigate_Dutch_38"	9	9	100	"5th_rate_admiral"	"naval_6_pounder_lr"	"naval_6_pounder_lr"	"naval_6_pounder_lr"	"naval_18_pounder_lr"	nil	nil	nil	"1deck38"	"test_admiral"	"test_naval_captain"	"test_naval_lieutenant"	"test_naval_bosun"	18	18	72	55	35	"matchlock"	2.5	0.1	1.1	1300	1.3	85	70	9	19	1.6	16	1	142	26	130	0.85	0.9	0.95	0.9	0.85	0.8	0.75	0.7	0.65	0.59	0.48	0.38	0.17	0.12	3.41775	5.788125038146973	6.9575	8.265625	7.604374885559082	6.3525	5.082	1.65	true	2	63	0.8	2	108	0.8	2	167	0.95	2	84	0.8	2	167	0.95	0	7	0.1	2	167	0.95	2	130	0.8	2	130	0.8	2	130	0.8	1	120	0	1	150	0	1	187	0	1	102	0	2	130	0.8	1	102	0	1	102	0	1	24	0.95	false	false	false	"Medium"	580	"sail"
"Frigate_French_32"	9	9	100	"5th_rate_admiral"	nil	nil	nil	"naval_12_pounder_lr"	nil	nil	"naval_6_pounder_lr"	"1deck32"	"test_admiral"	"test_naval_captain"	"test_naval_lieutenant"	"test_naval_bosun"	16	16	64	70	40	"matchlock"	2.5	0.1	1.1	1185	1.3	85	70	9	21	1.9	15	1	142	26	130	0.8925	0.945	0.9975	0.945	0.8925	0.84	0.7875	0.735	0.6825	0.6195	0.504	0.399	0.17	0.12	3.820162534713745	6.366937637329102	7.623	9.026062965393066	8.33175	6.98775	5.5902	1.8375	true	2	55	0.8	2	85	0.8	2	145	0.95	2	66	0.8	2	145	0.95	0	5	0.1	2	145	0.95	2	130	0.8	2	130	0.8	2	130	0.8	1	120	0	1	150	0	1	187	0	1	102	0	2	130	0.8	1	102	0	1	102	0	1	24	0.95	false	false	false	"Medium"	510	"sail"
"Frigate_French_38"	9	9	100	"5th_rate_admiral"	"naval_6_pounder_lr"	"naval_6_pounder_lr"	"naval_6_pounder_lr"	"naval_18_pounder_lr"	nil	nil	nil	"1deck38"	"test_admiral"	"test_naval_captain"	"test_naval_lieutenant"	"test_naval_bosun"	18	18	72	65	35	"matchlock"	2.5	0.1	1.1	1300	1.3	85	70	9	20	1.8	16	1	142	26	130	0.8925	0.945	0.9975	0.945	0.8925	0.84	0.7875	0.735	0.6825	0.6195	0.504	0.399	0.17	0.12	3.588637590408325	6.077531337738037	7.305375099182129	8.678906440734863	7.984593868255615	6.6701250076293945	5.3361	1.7325	true	2	63	0.8	2	108	0.8	2	167	0.95	2	84	0.8	2	167	0.95	0	7	0.1	2	167	0.95	2	130	0.8	2	130	0.8	2	130	0.8	1	120	0	1	150	0	1	187	0	1	102	0	2	130	0.8	1	102	0	1	102	0	1	24	0.95	false	false	false	"Medium"	580	"sail"
"Frigate_French_Carronade_Frigate"	9	9	100	"5th_rate_admiral"	nil	nil	nil	"naval_carronade_32_pounder"	nil	nil	"naval_carronade_32_pounder"	"1deck32"	"test_admiral"	"test_naval_captain"	"test_naval_lieutenant"	"test_naval_bosun"	16	16	64	70	40	"matchlock"	2.5	0.1	1.1	1185	1.3	85	70	9	21	1.9	15	1	142	26	130	0.8925	0.945	0.9975	0.945	0.8925	0.84	0.7875	0.735	0.6825	0.6195	0.504	0.399	0.17	0.12	3.820162534713745	6.366937637329102	7.623	9.026062965393066	8.33175	6.98775	5.5902	1.8375	true	2	55	0.8	2	85	0.8	2	145	0.95	2	66	0.8	2	145	0.95	0	5	0.1	2	145	0.95	2	130	0.8	2	130	0.8	2	130	0.8	1	120	0	1	150	0	1	187	0	1	102	0	2	130	0.8	1	102	0	1	102	0	1	24	0.95	false	false	false	"Medium"	510	"sail"
"Frigate_Ottoman_32"	9	9	100	"5th_rate_admiral"	nil	nil	nil	"naval_12_pounder_lr"	nil	nil	"naval_6_pounder_lr"	"1deck32"	"test_admiral"	"test_naval_captain"	"test_naval_lieutenant"	"test_naval_bosun"	16	16	64	60	40	"matchlock"	2.5	0.1	1.1	1185	1.3	85	70	9	20	1.7	15	1	142	26	130	0.85	0.9	0.95	0.9	0.85	0.8	0.75	0.7	0.65	0.59	0.48	0.38	0.17	0.12	3.63825	6.06375	7.26	8.59625	7.935	6.655	5.324	1.75	true	2	55	0.8	2	85	0.8	2	145	0.95	2	66	0.8	2	145	0.95	0	5	0.1	2	145	0.95	2	130	0.8	2	130	0.8	2	130	0.8	1	120	0	1	150	0	1	187	0	1	102	0	2	130	0.8	1	102	0	1	102	0	1	24	0.95	false	false	false	"Medium"	510	"sail"
"Frigate_Russian_24"	9	8	90	"5th_rate_admiral"	nil	nil	nil	nil	"naval_9_pounder_lr"	nil	nil	"1deck24"	"test_admiral"	"test_naval_captain"	"test_naval_lieutenant"	"test_naval_bosun"	14	14	48	60	40	"matchlock"	2.5	0.1	1.1	765	1.3	80	65	10	20	1.7	15	1.1	144	27	130	0.85	0.9	0.95	0.9	0.85	0.8	0.75	0.7	0.65	0.59	0.48	0.38	0.17	0.12	3.63825	6.06375	7.26	8.59625	7.935	6.655	5.324	1.8	true	2	50	0.8	2	67	0.8	2	123	0.95	2	67	0.8	2	123	0.95	0	4	0.1	2	123	0.95	2	120	0.8	2	120	0.8	2	120	0.8	1	110	0	1	137	0	1	171	0	1	93	0	2	120	0.8	1	93	0	1	93	0	1	24	0.95	false	false	false	"Medium"	430	"sail"
"Frigate_Russian_32"	9	9	100	"5th_rate_admiral"	nil	nil	nil	"naval_12_pounder_lr"	nil	nil	"naval_6_pounder_lr"	"1deck32"	"test_admiral"	"test_naval_captain"	"test_naval_lieutenant"	"test_naval_bosun"	16	16	64	60	40	"matchlock"	2.5	0.1	1.1	1185	1.3	85	70	9	20	1.7	15	1	142	26	130	0.85	0.9	0.95	0.9	0.85	0.8	0.75	0.7	0.65	0.59	0.48	0.38	0.17	0.12	3.63825	6.06375	7.26	8.59625	7.935	6.655	5.324	1.75	true	2	55	0.8	2	85	0.8	2	145	0.95	2	66	0.8	2	145	0.95	0	5	0.1	2	145	0.95	2	130	0.8	2	130	0.8	2	130	0.8	1	120	0	1	150	0	1	187	0	1	102	0	2	130	0.8	1	102	0	1	102	0	1	24	0.95	false	false	false	"Medium"	510	"sail"
"Frigate_Russian_38"	9	9	100	"5th_rate_admiral"	"naval_6_pounder_lr"	"naval_6_pounder_lr"	"naval_6_pounder_lr"	"naval_18_pounder_lr"	nil	nil	nil	"1deck38"	"test_admiral"	"test_naval_captain"	"test_naval_lieutenant"	"test_naval_bosun"	18	18	72	55	35	"matchlock"	2.5	0.1	1.1	1300	1.3	85	70	9	19	1.6	16	1	142	26	130	0.85	0.9	0.95	0.9	0.85	0.8	0.75	0.7	0.65	0.59	0.48	0.38	0.17	0.12	3.41775	5.788125038146973	6.9575	8.265625	7.604374885559082	6.3525	5.082	1.65	true	2	63	0.8	2	108	0.8	2	167	0.95	2	84	0.8	2	167	0.95	0	7	0.1	2	167	0.95	2	130	0.8	2	130	0.8	2	130	0.8	1	120	0	1	150	0	1	187	0	1	102	0	2	130	0.8	1	102	0	1	102	0	1	24	0.95	false	false	false	"Medium"	580	"sail"
"Frigate_Scandinavian_24"	9	8	90	"5th_rate_admiral"	nil	nil	nil	nil	"naval_9_pounder_lr"	nil	nil	"1deck24"	"test_admiral"	"test_naval_captain"	"test_naval_lieutenant"	"test_naval_bosun"	14	14	48	60	40	"matchlock"	2.5	0.1	1.1	765	1.3	80	65	10	20	1.7	15	1.1	144	27	130	0.85	0.9	0.95	0.9	0.85	0.8	0.75	0.7	0.65	0.59	0.48	0.38	0.17	0.12	3.63825	6.06375	7.26	8.59625	7.935	6.655	5.324	1.8	true	2	50	0.8	2	67	0.8	2	123	0.95	2	67	0.8	2	123	0.95	0	4	0.1	2	123	0.95	2	120	0.8	2	120	0.8	2	120	0.8	1	110	0	1	137	0	1	171	0	1	93	0	2	120	0.8	1	93	0	1	93	0	1	24	0.95	false	false	false	"Medium"	430	"sail"
"Frigate_Scandinavian_32"	9	9	100	"5th_rate_admiral"	nil	nil	nil	"naval_12_pounder_lr"	nil	nil	"naval_6_pounder_lr"	"1deck32"	"test_admiral"	"test_naval_captain"	"test_naval_lieutenant"	"test_naval_bosun"	16	16	64	60	40	"matchlock"	2.5	0.1	1.1	1185	1.3	85	70	9	20	1.7	15	1	142	26	130	0.85	0.9	0.95	0.9	0.85	0.8	0.75	0.7	0.65	0.59	0.48	0.38	0.17	0.12	3.63825	6.06375	7.26	8.59625	7.935	6.655	5.324	1.75	true	2	55	0.8	2	85	0.8	2	145	0.95	2	66	0.8	2	145	0.95	0	5	0.1	2	145	0.95	2	130	0.8	2	130	0.8	2	130	0.8	1	120	0	1	150	0	1	187	0	1	102	0	2	130	0.8	1	102	0	1	102	0	1	24	0.95	false	false	false	"Medium"	510	"sail"
"Frigate_Scandinavian_38"	9	9	100	"5th_rate_admiral"	"naval_6_pounder_lr"	"naval_6_pounder_lr"	"naval_6_pounder_lr"	"naval_18_pounder_lr"	nil	nil	nil	"1deck38"	"test_admiral"	"test_naval_captain"	"test_naval_lieutenant"	"test_naval_bosun"	18	18	72	55	35	"matchlock"	2.5	0.1	1.1	1300	1.3	85	70	9	19	1.6	16	1	142	26	130	0.85	0.9	0.95	0.9	0.85	0.8	0.75	0.7	0.65	0.59	0.48	0.38	0.17	0.12	3.41775	5.788125038146973	6.9575	8.265625	7.604374885559082	6.3525	5.082	1.65	true	2	63	0.8	2	108	0.8	2	167	0.95	2	84	0.8	2	167	0.95	0	7	0.1	2	167	0.95	2	130	0.8	2	130	0.8	2	130	0.8	1	120	0	1	150	0	1	187	0	1	102	0	2	130	0.8	1	102	0	1	102	0	1	24	0.95	false	false	false	"Medium"	580	"sail"
"Frigate_Spanish_32"	9	9	100	"5th_rate_admiral"	nil	nil	nil	"naval_12_pounder_lr"	nil	nil	"naval_6_pounder_lr"	"1deck32"	"test_admiral"	"test_naval_captain"	"test_naval_lieutenant"	"test_naval_bosun"	16	16	64	60	40	"matchlock"	2.5	0.1	1.1	1185	1.3	85	70	9	20	1.7	15	1	142	26	130	0.85	0.9	0.95	0.9	0.85	0.8	0.75	0.7	0.65	0.59	0.48	0.38	0.17	0.12	3.63825	6.06375	7.26	8.59625	7.935	6.655	5.324	1.75	true	2	55	0.8	2	85	0.8	2	145	0.95	2	66	0.8	2	145	0.95	0	5	0.1	2	145	0.95	2	130	0.8	2	130	0.8	2	130	0.8	1	120	0	1	150	0	1	187	0	1	102	0	2	130	0.8	1	102	0	1	102	0	1	24	0.95	false	false	false	"Medium"	510	"sail"
"Frigate_Spanish_38"	9	9	100	"5th_rate_admiral"	"naval_6_pounder_lr"	"naval_6_pounder_lr"	"naval_6_pounder_lr"	"naval_18_pounder_lr"	nil	nil	nil	"1deck38"	"test_admiral"	"test_naval_captain"	"test_naval_lieutenant"	"test_naval_bosun"	18	18	72	55	35	"matchlock"	2.5	0.1	1.1	1300	1.3	85	70	9	19	1.6	16	1	142	26	130	0.85	0.9	0.95	0.9	0.85	0.8	0.75	0.7	0.65	0.59	0.48	0.38	0.17	0.12	3.41775	5.788125038146973	6.9575	8.265625	7.604374885559082	6.3525	5.082	1.65	true	2	63	0.8	2	108	0.8	2	167	0.95	2	84	0.8	2	167	0.95	0	7	0.1	2	167	0.95	2	130	0.8	2	130	0.8	2	130	0.8	1	120	0	1	150	0	1	187	0	1	102	0	2	130	0.8	1	102	0	1	102	0	1	24	0.95	false	false	false	"Medium"	580	"sail"
"Frigate_Spanish_Carronade_Frigate"	9	9	100	"5th_rate_admiral"	nil	nil	nil	"naval_carronade_32_pounder"	nil	nil	"naval_carronade_32_pounder"	"1deck32"	"test_admiral"	"test_naval_captain"	"test_naval_lieutenant"	"test_naval_bosun"	16	16	64	60	40	"matchlock"	2.5	0.1	1.1	1185	1.3	85	70	9	20	1.7	15	1	142	26	130	0.85	0.9	0.95	0.9	0.85	0.8	0.75	0.7	0.65	0.59	0.48	0.38	0.17	0.12	3.63825	6.06375	7.26	8.59625	7.935	6.655	5.324	1.75	true	2	55	0.8	2	85	0.8	2	145	0.95	2	66	0.8	2	145	0.95	0	5	0.1	2	145	0.95	2	130	0.8	2	130	0.8	2	130	0.8	1	120	0	1	150	0	1	187	0	1	102	0	2	130	0.8	1	102	0	1	102	0	1	24	0.95	false	false	false	"Medium"	510	"sail"
"Small_Brig"	8	7	70	"5th_rate_admiral"	nil	"naval_6_pounder_lr"	nil	"naval_6_pounder_lr"	nil	nil	nil	"brig"	"test_admiral"	"test_naval_captain"	"test_naval_lieutenant"	"test_naval_bosun"	14	14	50	70	60	"matchlock"	1.5	0.1	1.2	450	1.4	65	50	11	25	1.9	12	1.2	148	29	130	0.85	0.9	0.95	0.9	0.85	0.8	0.75	0.67	0.59	0.59	0.48	0.38	0.17	0.12	5.9535	8.82	10.285	11.9025	11.50575	9.196	7.865	1.8	true	1	42	0.8	1	58	0.8	1	99	0.95	1	45	0.8	1	99	0.95	0	3	0.1	1	99	0.95	1	120	0.8	1	120	0.8	1	120	0.8	1	120	0	1	150	0	1	187	0	1	102	0	1	120	0.8	1	102	0	1	102	0	2	7	0.95	false	false	false	"High"	170	"sail"
"Small_British_Brig"	10	7	70	"5th_rate_admiral"	nil	"naval_6_pounder_lr"	nil	"naval_6_pounder_lr"	nil	nil	nil	"brig"	"test_admiral"	"test_naval_captain"	"test_naval_lieutenant"	"test_naval_bosun"	14	14	50	70	70	"matchlock"	1.5	0.1	1.2	450	1.4	65	50	11	25	1.9	12	1.2	148	29	130	0.85	0.9	0.95	0.9	0.85	0.8	0.75	0.67	0.59	0.59	0.48	0.38	0.17	0.12	5.9535	8.82	10.285	11.9025	11.50575	9.196	7.865	1.8	true	1	44	0.8	1	61	0.8	1	103	0.95	1	47	0.8	1	103	0.95	0	3	0.1	1	103	0.95	1	120	0.8	1	120	0.8	1	120	0.8	1	120	0	1	150	0	1	187	0	1	102	0	1	120	0.8	1	102	0	1	102	0	2	8	0.95	false	false	false	"High"	180	"sail"
"Small_British_Sloop"	10	3	50	"5th_rate_admiral"	nil	nil	"naval_6_pounder_lr"	"naval_9_pounder_lr"	nil	nil	nil	"sloop"	"test_admiral"	"test_naval_captain"	"test_naval_lieutenant"	"test_naval_bosun"	12	14	36	70	70	"matchlock"	1	0.1	1.2	375	1.4	50	40	13	26	2.1	12	2	155	30	130	0.7	0.8	0.9	0.95	0.95	0.9	0.85	0.8	0.72	0.59	0.48	0.38	0.17	0.12	6.615	8.82	10.89	12.56375	11.9025	10.285	8.7725	1.9	false	1	35	0.8	1	56	0.8	1	92	0.95	1	44	0.8	1	92	0.95	0	3	0.1	1	92	0.95	1	120	0.8	1	120	0.8	1	120	0.8	1	120	0	1	150	0	1	187	0	1	102	0	1	120	0.8	1	102	0	1	102	0	2	8	0.95	false	false	false	"High"	180	"sail"
"Small_Dutch_Brig"	8	7	70	"5th_rate_admiral"	nil	"naval_6_pounder_lr"	nil	"naval_6_pounder_lr"	nil	nil	nil	"brig"	"test_admiral"	"test_naval_captain"	"test_naval_lieutenant"	"test_naval_bosun"	14	14	50	70	60	"matchlock"	1.5	0.1	1.2	450	1.4	65	50	11	25	1.9	12	1.2	148	29	130	0.85	0.9	0.95	0.9	0.85	0.8	0.75	0.67	0.59	0.59	0.48	0.38	0.17	0.12	5.9535	8.82	10.285	11.9025	11.50575	9.196	7.865	1.8	true	1	42	0.8	1	58	0.8	1	99	0.95	1	45	0.8	1	99	0.95	0	3	0.1	1	99	0.95	1	120	0.8	1	120	0.8	1	120	0.8	1	120	0	1	150	0	1	187	0	1	102	0	1	120	0.8	1	102	0	1	102	0	2	7	0.95	false	false	false	"High"	170	"sail"
"Small_Dutch_Sloop"	8	3	50	"5th_rate_admiral"	nil	nil	"naval_6_pounder_lr"	"naval_9_pounder_lr"	nil	nil	nil	"sloop"	"test_admiral"	"test_naval_captain"	"test_naval_lieutenant"	"test_naval_bosun"	12	14	36	70	60	"matchlock"	1	0.1	1.2	375	1.4	50	40	13	26	2.1	12	2	155	30	130	0.7	0.8	0.9	0.95	0.95	0.9	0.85	0.8	0.72	0.59	0.48	0.38	0.17	0.12	6.615	8.82	10.89	12.56375	11.9025	10.285	8.7725	1.9	false	1	34	0.8	1	54	0.8	1	88	0.95	1	42	0.8	1	88	0.95	0	3	0.1	1	88	0.95	1	120	0.8	1	120	0.8	1	120	0.8	1	120	0	1	150	0	1	187	0	1	102	0	1	120	0.8	1	102	0	1	102	0	2	7	0.95	false	false	false	"High"	170	"sail"
"Small_French_Brig"	8	7	70	"5th_rate_admiral"	nil	"naval_6_pounder_lr"	nil	"naval_6_pounder_lr"	nil	nil	nil	"brig"	"test_admiral"	"test_naval_captain"	"test_naval_lieutenant"	"test_naval_bosun"	14	14	50	80	60	"matchlock"	1.5	0.1	1.2	450	1.4	65	50	11	26	2.1	12	1.2	148	29	130	0.8925	0.945	0.9975	0.945	0.8925	0.84	0.7875	0.7035	0.6195	0.6195	0.504	0.399	0.17	0.12	6.2511749267578125	9.261	10.79925	12.497625350952148	12.081037521362305	9.6558	8.25825	1.89	true	1	42	0.8	1	58	0.8	1	99	0.95	1	45	0.8	1	99	0.95	0	3	0.1	1	99	0.95	1	120	0.8	1	120	0.8	1	120	0.8	1	120	0	1	150	0	1	187	0	1	102	0	1	120	0.8	1	102	0	1	102	0	2	7	0.95	false	false	false	"High"	170	"sail"
"Small_French_Corvette"	9	8	90	"5th_rate_admiral"	nil	nil	nil	nil	"naval_9_pounder_lr"	nil	nil	"1deck24"	"test_admiral"	"test_naval_captain"	"test_naval_lieutenant"	"test_naval_bosun"	14	14	48	70	40	"matchlock"	2.5	0.1	1.1	765	1.3	80	65	10	21	1.9	15	1.1	144	27	130	0.8925	0.945	0.9975	0.945	0.8925	0.84	0.7875	0.735	0.6825	0.6195	0.504	0.399	0.17	0.12	3.820162534713745	6.366937637329102	7.623	9.026062965393066	8.33175	6.98775	5.5902	1.89	true	2	50	0.8	2	67	0.8	2	123	0.95	2	67	0.8	2	123	0.95	0	4	0.1	2	123	0.95	2	120	0.8	2	120	0.8	2	120	0.8	1	110	0	1	137	0	1	171	0	1	93	0	2	120	0.8	1	93	0	1	93	0	1	24	0.95	false	false	false	"Medium"	430	"sail"
"Small_French_Sloop"	8	3	50	"5th_rate_admiral"	nil	nil	"naval_6_pounder_lr"	"naval_9_pounder_lr"	nil	nil	nil	"sloop"	"test_admiral"	"test_naval_captain"	"test_naval_lieutenant"	"test_naval_bosun"	12	14	36	80	60	"matchlock"	1	0.1	1.2	375	1.4	50	40	13	27	2.3	12	2	155	30	130	0.735	0.84	0.945	0.9975	0.9975	0.945	0.8925	0.84	0.756	0.6195	0.504	0.399	0.17	0.12	6.94575	9.261	11.4345	13.191937446594238	12.497625350952148	10.79925	9.211125373840332	1.995	false	1	34	0.8	1	54	0.8	1	88	0.95	1	42	0.8	1	88	0.95	0	3	0.1	1	88	0.95	1	120	0.8	1	120	0.8	1	120	0.8	1	120	0	1	150	0	1	187	0	1	102	0	1	120	0.8	1	102	0	1	102	0	2	7	0.95	false	false	false	"High"	170	"sail"
"Small_Galley"	8	5	30	"5th_rate_admiral"	"naval_42_pounder"	nil	nil	nil	nil	nil	nil	"galley"	"test_admiral"	"test_naval_captain"	"test_naval_lieutenant"	"test_naval_bosun"	10	14	4	50	30	"matchlock"	1.5	0.1	1.2	450	1.3	90	70	4	13	1.7	10	0.5	180	25	130	0.95	0.95	0.95	0.95	0.95	0.95	0.95	0.94	0.92	0.9	0.82	0.73	0.17	0.12	6.06375	9.9225	10.5875	10.910625457763672	9.91875	7.5625	7.26	9.25	false	0	25	0.8	0	36	0.8	0	46	0.95	0	28	0.8	0	46	0.95	0	2	0.1	0	46	0.95	1	120	0.8	1	120	0.8	1	120	0.8	1	95	0	1	118	0	1	147	0	1	0	0	1	120	0.8	1	80	0	1	80	0	1	7	0.95	false	false	false	"High"	60	"oar"
"Small_Ottoman_Brig"	8	7	70	"5th_rate_admiral"	nil	"naval_6_pounder_lr"	nil	"naval_6_pounder_lr"	nil	nil	nil	"brig"	"test_admiral"	"test_naval_captain"	"test_naval_lieutenant"	"test_naval_bosun"	14	14	50	70	60	"matchlock"	1.5	0.1	1.2	450	1.4	65	50	11	25	1.9	12	1.2	148	29	130	0.85	0.9	0.95	0.9	0.85	0.8	0.75	0.67	0.59	0.59	0.48	0.38	0.17	0.12	5.9535	8.82	10.285	11.9025	11.50575	9.196	7.865	1.8	true	1	42	0.8	1	58	0.8	1	99	0.95	1	45	0.8	1	99	0.95	0	3	0.1	1	99	0.95	1	120	0.8	1	120	0.8	1	120	0.8	1	120	0	1	150	0	1	187	0	1	102	0	1	120	0.8	1	102	0	1	102	0	2	7	0.95	false	false	false	"High"	170	"sail"
"Small_Ottoman_Galley"	8	5	30	"5th_rate_admiral"	"naval_42_pounder"	nil	nil	nil	nil	nil	nil	"galley"	"test_admiral"	"test_naval_captain"	"test_naval_lieutenant"	"test_naval_bosun"	10	14	4	50	30	"matchlock"	1.5	0.1	1.2	450	1.3	90	70	4	13	1.7	10	0.5	180	25	130	0.95	0.95	0.95	0.95	0.95	0.95	0.95	0.94	0.92	0.9	0.82	0.73	0.17	0.12	6.06375	9.9225	10.5875	10.910625457763672	9.91875	7.5625	7.26	9.25	false	0	25	0.8	0	36	0.8	0	46	0.95	0	28	0.8	0	46	0.95	0	2	0.1	0	46	0.95	1	120	0.8	1	120	0.8	1	120	0.8	1	95	0	1	118	0	1	147	0	1	0	0	1	120	0.8	1	80	0	1	80	0	1	7	0.95	false	false	false	"High"	60	"oar"
"Small_Ottoman_Sloop"	8	3	50	"5th_rate_admiral"	nil	nil	"naval_6_pounder_lr"	"naval_9_pounder_lr"	nil	nil	nil	"sloop"	"test_admiral"	"test_naval_captain"	"test_naval_lieutenant"	"test_naval_bosun"	12	14	36	70	60	"matchlock"	1	0.1	1.2	375	1.4	50	40	13	26	2.1	12	2	155	30	130	0.7	0.8	0.9	0.95	0.95	0.9	0.85	0.8	0.72	0.59	0.48	0.38	0.17	0.12	6.615	8.82	10.89	12.56375	11.9025	10.285	8.7725	1.9	false	1	34	0.8	1	54	0.8	1	88	0.95	1	42	0.8	1	88	0.95	0	3	0.1	1	88	0.95	1	120	0.8	1	120	0.8	1	120	0.8	1	120	0	1	150	0	1	187	0	1	102	0	1	120	0.8	1	102	0	1	102	0	2	7	0.95	false	false	false	"High"	170	"sail"
"Small_Russian_Brig"	8	7	70	"5th_rate_admiral"	nil	"naval_6_pounder_lr"	nil	"naval_6_pounder_lr"	nil	nil	nil	"brig"	"test_admiral"	"test_naval_captain"	"test_naval_lieutenant"	"test_naval_bosun"	14	14	50	70	60	"matchlock"	1.5	0.1	1.2	450	1.4	65	50	11	25	1.9	12	1.2	148	29	130	0.85	0.9	0.95	0.9	0.85	0.8	0.75	0.67	0.59	0.59	0.48	0.38	0.17	0.12	5.9535	8.82	10.285	11.9025	11.50575	9.196	7.865	1.8	true	1	42	0.8	1	58	0.8	1	99	0.95	1	45	0.8	1	99	0.95	0	3	0.1	1	99	0.95	1	120	0.8	1	120	0.8	1	120	0.8	1	120	0	1	150	0	1	187	0	1	102	0	1	120	0.8	1	102	0	1	102	0	2	7	0.95	false	false	false	"High"	170	"sail"
